;Anio;Trimestre;Banda ancha fija;Dial up;Total;id_provincia
633;2016;2;41187;2,0;41189;10
634;2016;2;68403;485,0;68888;11
635;2016;2;16718;18,0;16736;12
636;2016;2;169274;1550,0;170824;13
637;2016;2;95808;7,0;95815;14
638;2016;2;108224;2291,0;110515;15
639;2016;2;99631;1073,0;100704;16
640;2016;2;104929;3,0;104932;17
641;2016;2;51392;621,0;52013;18
642;2016;2;12939;317,0;13256;19
643;2016;2;25797;356,0;26153;20
644;2016;2;563867;607,0;564474;21
645;2016;2;36958;3,0;36961;22
646;2016;2;30740;619,0;31359;23
647;2016;2;148636;41,0;148677;24
648;2016;1;2929903;12612,0;2942515;1
649;2016;1;1328079;9817,0;1337896;2
650;2016;1;26376;13,0;26389;3
651;2016;1;86635;16,0;86651;4
652;2016;1;62060;1740,0;63800;5
653;2016;1;609692;234,0;609926;7
654;2016;1;85510;26,0;85536;6
655;2016;1;174634;179,0;174813;8
656;2016;1;28313;1,0;28314;9
657;2016;1;40287;2,0;40289;10
658;2016;1;65442;487,0;65929;11
659;2016;1;16673;18,0;16691;12
660;2016;1;169257;1553,0;170810;13
661;2016;1;92951;7,0;92958;14
662;2016;1;101969;2292,0;104261;15
663;2016;1;98745;1077,0;99822;16
664;2016;1;102423;3,0;102426;17
665;2016;1;51373;621,0;51994;18
666;2016;1;12915;317,0;13232;19
667;2016;1;25931;356,0;26287;20
668;2016;1;551378;618,0;551996;21
669;2016;1;37695;3,0;37698;22
670;2016;1;29867;619,0;30486;23
671;2016;1;146596;41,0;146637;24
672;2015;4;2946743;12642,0;2959385;1
673;2015;4;1360381;9845,0;1370226;2
674;2015;4;26459;13,0;26472;3
675;2015;4;86537;16,0;86553;4
676;2015;4;62279;1740,0;64019;5
677;2015;4;625835;235,0;626070;7
678;2015;4;85409;26,0;85435;6
679;2015;4;173957;180,0;174137;8
680;2015;4;28088;1,0;28089;9
681;2015;4;39922;2,0;39924;10
682;2015;4;66054;312,0;66366;11
683;2015;4;16914;18,0;16932;12
684;2015;4;169251;1556,0;170807;13
685;2015;4;92846;7,0;92853;14
686;2015;4;105122;2294,0;107416;15
687;2015;4;98655;1067,0;99722;16
688;2015;4;101917;3,0;101920;17
689;2015;4;51408;621,0;52029;18
690;2015;4;12901;317,0;13218;19
691;2015;4;26047;356,0;26403;20
692;2015;4;561045;627,0;561672;21
693;2015;4;39132;3,0;39135;22
694;2015;4;29334;619,0;29953;23
695;2015;4;146053;42,0;146095;24
696;2015;3;2916070;12695,0;2928765;1
697;2015;3;1362193;9875,0;1372068;2
698;2015;3;26080;13,0;26093;3
699;2015;3;85354;16,0;85370;4
700;2015;3;62143;1740,0;63883;5
701;2015;3;622761;237,0;622998;7
702;2015;3;84931;28,0;84959;6
703;2015;3;172252;182,0;172434;8
704;2015;3;27751;1,0;27752;9
705;2015;3;39548;2,0;39550;10
706;2015;3;64976;495,0;65471;11
707;2015;3;16753;18,0;16771;12
708;2015;3;169261;1562,0;170823;13
709;2015;3;91615;7,0;91622;14
710;2015;3;98376;2240,0;100616;15
711;2015;3;98529;1085,0;99614;16
712;2015;3;100570;3,0;100573;17
